Work item ID,Work type,Summary,Parent,Sprint,Priority,Label,Label,Label,Description
18,Story,D-4: SQL-Grundlagen-Spickzettel erstellen,2,Sprint 1,High,LF5,Pflicht,Fachgespraech,"DoD: Spickzettel mit Beispielen (SELECT/WHERE/GROUP BY/ORDER BY/JOIN). Owner: A. Bewertung: SQL-Verstaendnis (waehlbar)."
19,Story,D-5: Sicherheit und Rechte zusammenfassen,2,Sprint 1,High,LF5,Pflicht,Fachgespraech,"DoD: Kurz-Zusammenfassung (Datenschutz, Zugriff, Backup, SQL-Injection). Owner: B. Bewertung: Sicherheit und Rechte (waehlbar)."
20,Story,D-6: Scrum-Grundlagen im Team klaeren,2,Sprint 1,Medium,LF5,Pflicht,,"DoD: gemeinsames Verstaendnis notiert. Owner: Scrum Master."
21,Story,D-7: Waehlbaren 3. Fachgespraech-Bereich festlegen,2,Sprint 1,High,LF5,Pflicht,Fachgespraech,"DoD: Entscheidung (Normalisierung/SQL/Sicherheit) in entscheidungen/. Owner: alle. Nur 3 von 5 Bereichen werden geprueft."
22,Story,D-8: Projektziel und Leitfragen beantworten,2,Sprint 1,High,LF5,Pflicht,,"DoD: 1-seitige Projektziel-Notiz (Problem/Auftrag/Frist/Quellen). Owner: PO. Bewertung: Inhalt/Struktur."
23,Story,D-9: Fachrichtung des Teams klaeren (FiSi/ITSE vs. FIAE/FIDP),2,Sprint 1,High,LF5,Pflicht,,"DoD: festgelegt und im Backlog markiert. Owner: alle. Bestimmt Pflicht-/Optional-Abfragen (Q-6..Q-8, Q-11)."
24,Story,K-1: IST-ERD sichten (Kunde/Bestellung/Zutat/Lieferant),3,Sprint 2,High,LF5,Pflicht,,"DoD: IST verstanden und notiert. Owner: alle. Bewertung: Datenmodellierung."
25,Story,K-2: Alle zu verwaltenden Infos sammeln,3,Sprint 2,High,LF5,Pflicht,,"DoD: Sammlung in 02_planung/ (Kundendaten, Rezepte, Bestelldaten). Owner: PO. Bewertung: Inhalt."
26,Story,K-3: Neue Anforderungen auflisten (Rezepte/Kategorien/Allergene/Naehrstoffe),3,Sprint 2,High,LF5,Pflicht,,"DoD: Anforderungsliste aus dem Szenario. Owner: PO. Bewertung: Inhalt vollstaendig."
27,Story,M-1: Entitaet Rezept modellieren,3,Sprint 2,High,LF5,Pflicht,,"DoD: Entitaet mit Attributen im ERM. Owner: A. Bewertung: Datenmodellierung."
28,Story,M-2: Ernaehrungskategorie modellieren + Beziehung zu Rezept,3,Sprint 2,High,LF5,Pflicht,,"DoD: Entitaet + Kardinalitaet festgelegt. Owner: B. Bewertung: Datenmodellierung."
29,Story,M-3: Beschraenkung/Allergen modellieren + Beziehung,3,Sprint 2,High,LF5,Pflicht,,"DoD: Entitaet + Kardinalitaet (n:m). Owner: C. Bewertung: Datenmodellierung."
30,Story,M-4: Rezept-Zutat als n:m mit Attribut Menge modellieren,3,Sprint 2,High,LF5,Pflicht,,"DoD: Zwischentabelle vorgesehen. Owner: A. Bewertung: Datenmodellierung (n:m)."
31,Story,M-5: Zutat um Naehrstoffe erweitern (Fett/Ballaststoffe/Natrium),3,Sprint 2,High,LF5,Pflicht,,"DoD: Attribute ergaenzt. Owner: B. Bewertung: Inhalt."
32,Story,M-6: PK/FK und Kardinalitaeten fuer neue Tabellen festlegen,3,Sprint 2,High,LF5,Pflicht,,"DoD: alle Schluessel/Kardinalitaeten im ERM. Owner: C. Bewertung: Datenmodellierung (PK/FK)."
33,Story,M-7: Normalisierung bis 3. NF pruefen und durchfuehren,3,Sprint 2,High,LF5,Pflicht,,"DoD: ERM erfuellt mind. 3. NF, dokumentiert. Owner: alle. Bewertung: Normalisierung."
34,Story,M-8: ERM in Relationenschema ableiten,3,Sprint 2,High,LF5,Pflicht,,"DoD: Relationenschema in 02_planung/. Owner: A. Bewertung: Datenmodellierung."
35,Story,"M-9: IST-Maengel beruecksichtigen (z.B. Stasse -> Strasse)",3,Sprint 2,Medium,LF5,Pflicht,,"DoD: im Soll-ERM korrigiert. Owner: B. Bewertung: Inhalt korrekt."
36,Story,M-10: ERD/ERM sauber als Diagramm erstellen,3,Sprint 2,High,LF5,Pflicht,,"DoD: lesbare ERD-Datei in 04_umsetzung/. Owner: C. Bewertung: Gestaltung/Inhalt."
37,Story,C-1: DB importieren und fehlerfreien Lauf zeigen (Checkpoint),3,Sprint 2,Highest,LF5,Pflicht,Meilenstein,"DoD: Import ohne Syntaxfehler, FK-Constraints greifen. Owner: Dev. Mid-Project-Checkpoint (ungraded, Pflicht)."
38,Story,C-2: Aktualisiertes ERD praesentieren (Checkpoint),3,Sprint 2,Highest,LF5,Pflicht,Meilenstein,"DoD: ERD-Stand vorgestellt. Owner: alle. Mid-Project-Checkpoint."
39,Story,C-3: Checkpoint-Kurzpraesentation (Englisch) vorbereiten,3,Sprint 2,High,LF5,Pflicht,Meilenstein,"DoD: Folien/Notizen bereit. Owner: PO. Sprachuebung fuer Endabgabe."
40,Story,DB-1: Entwicklungsumgebung und DBMS aufsetzen (HeidiSQL),4,Sprint 3,High,LF5,Pflicht,,"DoD: Tool laeuft bei allen. Owner: Dev. Bewertung: Nutzung/Deployment."
41,Story,DB-2: Bereitgestellten DB-Dump importieren,4,Sprint 3,High,LF5,Pflicht,,"DoD: DB importiert. Owner: A. Bewertung: Deployment (Dump)."
42,Story,DB-3: DDL fuer neue Tabellen schreiben,4,Sprint 3,High,LF5,Pflicht,,"DoD: CREATE-TABLE-Skripte in 04_umsetzung/ (Rezept/Kategorie/Beschraenkung/Zwischentabellen). Owner: B."
43,Story,DB-4: DDL fuer Erweiterungen bestehender Tabellen (ALTER Zutat),4,Sprint 3,High,LF5,Pflicht,,"DoD: ALTER-TABLE-Skripte (Fett/Ballaststoffe/Natrium). Owner: C. Bewertung: Inhalt."
44,Story,DB-5: FK-Constraints und Beziehungen umsetzen (3. NF),4,Sprint 3,High,LF5,Pflicht,,"DoD: Constraints aktiv, Struktur passt zum ERM. Owner: A. Bewertung: Datenmodellierung."
45,Story,DB-6: DML - bereitgestellte Rezepte/Daten einpflegen,4,Sprint 3,High,LF5,Pflicht,,"DoD: Testdaten in allen Tabellen (INSERT/UPDATE). Owner: B. Bewertung: Nutzung."
46,Story,DB-7: Eigene sinnvolle Testdaten ergaenzen,4,Sprint 3,High,LF5,Pflicht,,"DoD: genug Daten zum Testen der Abfragen. Owner: C. Bewertung: Tests."
47,Story,DB-8: Deployment-Struktur/Dump erzeugen,4,Sprint 3,High,LF5,Pflicht,,"DoD: re-importierbarer Dump im Repo. Owner: Dev. Bewertung: Deployment-Struktur (Dump)."
48,Story,DB-9: Alle Skripte versioniert ins Repo legen,4,Sprint 3,High,LF5,Pflicht,,"DoD: DDL/DML aktuell im Repo. Owner: alle. Bewertung: Repo-Pflicht (Vorgabe)."
49,Story,Q-1: Abfrage - Alle Zutaten eines Rezeptes nach Rezeptname,5,Sprint 4+,High,LF5,Pflicht,,"DoD: liefert korrektes Ergebnis. Owner: A. Bewertung: SQL-Verstaendnis."
50,Story,Q-2: Abfrage - Alle Rezepte einer bestimmten Ernaehrungskategorie,5,Sprint 4+,High,LF5,Pflicht,,"DoD: korrekt. Owner: B. Bewertung: SQL-Verstaendnis."
51,Story,"Q-3: Abfrage - Alle Rezepte, die eine gewisse Zutat enthalten",5,Sprint 4+,High,LF5,Pflicht,,"DoD: korrekt. Owner: C. Bewertung: SQL-Verstaendnis."
52,Story,Q-4: Abfrage - Durchschnittliche Naehrwerte aller Bestellungen eines Kunden,5,Sprint 4+,High,LF5,Pflicht,,"DoD: korrekt (Aggregatfunktion). Owner: A. Bewertung: SQL (Aggregat)."
53,Story,Q-5: Abfrage - Alle Zutaten ohne Rezept-Zuordnung,5,Sprint 4+,High,LF5,Pflicht,,"DoD: korrekt (LEFT JOIN/Subselect). Owner: B. Bewertung: SQL (JOIN/Subselect)."
54,Story,Q-6: Abfrage - Rezepte unter bestimmter Kalorienmenge,5,Sprint 4+,Medium,LF5,Optional,FIAE_FIDP,"DoD: korrekt. Owner: C. Pflicht fuer FIAE/FIDP, optional fuer FiSi/ITSE."
55,Story,Q-7: Abfrage - Rezepte mit weniger als fuenf Zutaten,5,Sprint 4+,Medium,LF5,Optional,FIAE_FIDP,"DoD: korrekt (Aggregat + HAVING). Owner: A. Pflicht fuer FIAE/FIDP."
56,Story,Q-8: Abfrage - Rezepte mit unter fuenf Zutaten und bestimmter Kategorie,5,Sprint 4+,Medium,LF5,Optional,FIAE_FIDP,"DoD: korrekt. Owner: B. Pflicht fuer FIAE/FIDP."
57,Story,Q-9: Mindestens drei eigene sinnvolle Abfragen entwickeln,5,Sprint 4+,High,LF5,Pflicht,,"DoD: 3 Abfragen + Zweck dokumentiert. Owner: alle. Bewertung: SQL-Verstaendnis."
58,Story,"Q-10: Abdeckung INNER/LEFT-RIGHT JOIN, Subselect, Aggregat sicherstellen",5,Sprint 4+,High,LF5,Pflicht,,"DoD: Abdeckung per Mapping-Tabelle nachgewiesen. Owner: PO. Bewertung: SQL-Verstaendnis."
59,Story,Q-11: Mindestens drei Stored Procedures (FIAE/FIDP),5,Sprint 4+,Medium,LF5,Optional,FIAE_FIDP,"DoD: 3 lauffaehige Procedures. Owner: Dev. Pflicht fuer FIAE/FIDP."
60,Story,"Q-12: Trigger umsetzen (optional, FIAE/FIDP)",5,Sprint 4+,Low,LF5,Optional,FIAE_FIDP,"DoD: Trigger umgesetzt/erklaert. Owner: Dev."
61,Story,G-1: DSGVO Auskunfts-Skript (personenbezogene Daten eines Kunden),5,Sprint 4+,High,LF5,Pflicht,DSGVO,"DoD: Skript liefert Kundenauskunft. Owner: A. Bewertung: Sicherheit/Datenschutz."
62,Story,"G-2: DSGVO Loesch-Skript (Kundendaten, FK-Abhaengigkeiten)",5,Sprint 4+,High,LF5,Pflicht,DSGVO,"DoD: Loeschung laeuft ohne FK-Fehler. Owner: B. Bewertung: Sicherheit/Datenschutz."
63,Story,G-3: Anleitung - wie Mitarbeitende die DSGVO-Skripte anwenden,5,Sprint 4+,High,LF5,Pflicht,DSGVO,"DoD: Anleitung in 03_dokumentation/anleitungen/. Owner: C. Bewertung: Praesentation (DSGVO)."
64,Story,G-4: Zugriffskontrolle personenbezogener Daten (optional),5,Sprint 4+,Low,LF5,Optional,DSGVO,"DoD: Konzept/Umsetzung (Rechte/Rollen). Owner: Dev. Bewertung: Sicherheit und Rechte."
65,Story,Q-T: Pro Abfrage einen Testfall mit erwartetem Ergebnis anlegen,5,Sprint 4+,High,LF5,Pflicht,,"DoD: Testtabelle in 05_tests_und_pruefung/. Owner: alle. Bewertung: Tests."
66,Story,Q-R: Bei Abweichungen Struktur oder Abfrage ueberarbeiten,5,Sprint 4+,High,LF5,Pflicht,,"DoD: alle Tests gruen. Owner: alle. Bewertung: Inhalt korrekt."
67,Story,Q-D: Alle Abfragen und Skripte versioniert ins Repo,5,Sprint 4+,High,LF5,Pflicht,,"DoD: Repo aktuell. Owner: alle. Bewertung: Repo-Pflicht."
68,Story,I-1: Adressspeicherung verbessern (Liefer-/Rechnungsadresse),6,Sprint n,Low,LF5,Optional,,"DoD: ERM/DDL erweitert. Owner: A. Bewertung: Nutzung/Weiterentwicklung."
69,Story,I-2: Konzept Zahlungsdaten/Zahlungsarten (ggf. Abo-Modell),6,Sprint n,Low,LF5,Optional,,"DoD: Konzept dokumentiert. Owner: B. Bewertung: Nutzung/Weiterentwicklung."
70,Story,I-3: GUI-Anbindung (PHP/HTML/CSS/OOP) - optional,6,Sprint n,Low,LF5,Optional,,"DoD: lauffaehige Mini-Oberflaeche. Owner: Dev. Nur wenn Pflichtteile fertig sind."
71,Story,I-4: NoSQL-Loesung fuer Bewegungsdaten - optional,6,Sprint n,Low,LF5,Optional,,"DoD: Prototyp/Konzept. Owner: Dev. Nur bei freier Kapazitaet."
72,Story,P-1: Praesentation - Storyline/roter Faden + Fazit,7,Abschluss,High,LF5,Pflicht,Praesentation,"DoD: Gliederung (Einleitung/Hauptteil/Schluss). Owner: PO. Bewertung: Struktur (5 P)."
73,Story,P-2: Praesentation - Inhalt sachlich und kundenorientiert,7,Abschluss,High,LF5,Pflicht,Praesentation,"DoD: Folien inhaltlich korrekt. Owner: A. Bewertung: Inhalt (5 P)."
74,Story,P-3: Praesentation - Nutzung zeigen (Schnittstelle, naechste Schritte),7,Abschluss,High,LF5,Pflicht,Praesentation,"DoD: Abschnitt Nutzung vorhanden. Owner: B. Bewertung: Nutzung (5 P)."
75,Story,P-4: Praesentation - Folien gestalten (eine Aussage pro Folie),7,Abschluss,High,LF5,Pflicht,Praesentation,"DoD: Foliensatz fertig (Stichpunkte, sinnvolle Grafiken). Owner: C. Bewertung: Gestaltung (5 P)."
76,Story,P-5: Live-Demo vorbereiten (Import/Abfragen/DSGVO-Loeschung),7,Abschluss,High,LF5,Pflicht,Praesentation,"DoD: Demo laeuft stabil. Owner: Dev. Bewertung: Inhalt/Nutzung."
77,Story,P-6: Vortrag ueben (Tempo/Tonfall, Zeit unter 15 Min, alle reden),7,Abschluss,High,LF5,Pflicht,Praesentation,"DoD: Probedurchlauf bestanden. Owner: alle. Bewertung: Praesentation (5 P)."
78,Story,P-7: DSGVO-Ausarbeitung in die Uebergabe aufnehmen,7,Abschluss,High,LF5,Pflicht,Praesentation,"DoD: im Foliensatz enthalten. Owner: A. Bewertung: Inhalt."
79,Story,F-1: Fachgespraech - Grundverstaendnis Datenbanken wiederholen,7,Abschluss,High,LF5,Pflicht,Fachgespraech,"DoD: jede:r kann es erklaeren. Owner: alle. Bewertung: Fachgespraech (10 P, Pflicht)."
80,Story,F-2: Fachgespraech - Datenmodellierung wiederholen (PK/FK, Kardinalitaeten),7,Abschluss,High,LF5,Pflicht,Fachgespraech,"DoD: jede:r kann es erklaeren. Owner: alle. Bewertung: Fachgespraech (10 P, Pflicht)."
81,Story,F-3: Fachgespraech - 3. gewaehlten Bereich wiederholen,7,Abschluss,High,LF5,Pflicht,Fachgespraech,"DoD: jede:r kann es erklaeren. Owner: alle. Bewertung: Fachgespraech (10 P, waehlbar)."
82,Story,F-4: Alle Artefakte buendeln (ERD, Skripte, Abfragen, DSGVO, Dump),7,Abschluss,High,LF5,Pflicht,Fachgespraech,"DoD: 06_abgabe/ vollstaendig. Owner: PO. Bewertung: Fachgespraech."
83,Story,F-5: Eigene Abfragen erklaeren koennen (JOIN/Subselect/Aggregat),7,Abschluss,High,LF5,Pflicht,Fachgespraech,"DoD: Probefragen geuebt. Owner: alle. Bewertung: SQL-Verstaendnis."
84,Story,S-1: SuK - eigene Belbin-Rolle beschreiben (Einschaetzung vs. tatsaechlich),7,Abschluss,High,LF5,Pflicht,SuK,"DoD: Notizen je Person mit Beispielen. Owner: alle. Bewertung: SuK."
85,Story,S-2: SuK - Teamrollen der Partner:innen analysieren,7,Abschluss,High,LF5,Pflicht,SuK,"DoD: Analyse vorbereitet. Owner: alle. Bewertung: SuK."
86,Story,S-3: SuK - Kernfrage beantworten (gut funktionierendes Team?),7,Abschluss,High,LF5,Pflicht,SuK,"DoD: begruendete Antwort. Owner: alle. Bewertung: SuK."
87,Story,S-4: SuK - Termin mit Lehrkraft abstimmen,7,Abschluss,High,LF5,Pflicht,SuK,"DoD: Termin fix. Owner: Scrum Master. Bewertung: SuK."
